paper_code	slide_label	trait_type	neale_code	status	alpha_eligible	nonsynonymous_eligible	uncertainty_status	alpha_uncertainty_status	alpha	alpha_se	alpha_ci_low	alpha_ci_high	alpha_curve_delete_boundary_count	nonsynonymous_enrichment	nonsynonymous_enrichment_se	total_h2	total_h2_se	iterations	matched_snp_count	nonsynonymous_snp_count	alpha_matched_snp_count	optimization_seconds	fixed_sldsc_intercept	mapping_note	source_commit	numerical_review_status	uncertainty_qualification	native_api_seconds	input_preparation_seconds	pre_extraction_process_seconds	sample_size	workers	information_penalty	alpha_validation_scope	cohort_concurrency_exposure
3000963	Hemoglobin	continuous	30020_irnt	complete	True	True	available		-0.21999159326127932	0.11379048217027031	-0.4422455054086778	0.021244657229571487	0	31.206855838569787	4.370302757888642	0.1937215774023877	0.007572673338306385	71	7218151	21612	5304308	10200.784913375042	1.1035777180204411	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	validated	One-step delete-group uncertainty; calibration not assessed.	10327.625618749997	30.647729291929863	10363.763948209002	350474.0	12	0	benchmark_parity_and_saved_arithmetic	early_two_fit_overlap
3016723	Creatinine	continuous	30700_irnt	complete	True	True	available		-0.20832663336903956	0.08140724069869126	-0.36037452363109457	-0.03763261416164031	0	34.92482945097563	3.098891031691531	0.2294344066199434	0.008060871257497496	71	7217969	21608	5304308	4406.28616950009	1.0975807342235486	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	validated	One-step delete-group uncertainty; calibration not assessed.	4530.231789874961	30.93210558302235	4566.573410874931	344104.0	12	0	independent_full_and_100_delete_alpha_verified	serial_cohort_fit
3020416	RBC count	continuous	30010_irnt	max_iterations	False	False	provisional_unresolved_endpoint		-0.2997849184786583	0.05977109526005192	-0.4206873535041903	-0.17258589676609837	0	23.270897373421885	2.4803830128681015	0.2372590382859313	0.012729259537359976	100	7218152	21612	5304308	5110.362521750038	1.162267531386233	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Unresolved endpoint; numerical estimates are provisional.	5234.275684833061	31.439018625067547	5271.024183875066	350475.0	12	0	independent_full_and_100_delete_alpha_verified	serial_cohort_fit
3023599	MCV	continuous	30040_irnt	max_iterations	False	False	provisional_unresolved_endpoint		-0.49859322681909324	0.1911177292381189	-0.9289263893909047	0.8598232511964151	0	23.030838460059968	23.808679774931647	0.2755468716382736	63.361508706204845	100	7218154	21612	5304308	5089.157505750074	1.1783714444748783	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Unresolved endpoint; numerical estimates are provisional. A delete alpha check using independently reconstructed covariance exceeded its 1e-6 tolerance; saved-output reproduction is separate.	5213.307848999975	30.68071420805063	5249.407618875033	350473.0	12	0	strict_delete_alpha_verification_failed	serial_cohort_fit
3028288	LDL	continuous	30780_irnt	max_iterations	False	False	provisional_unresolved_endpoint		-0.7678178613620315	0.06783722487802596	-0.9104908514168879	-0.5920994774197458	0	61.357336669096625	11.439355759168915	0.13551613892906814	0.024958001984562814	100	7217924	21608	5304308	5071.2245847499	1.0662629735058093	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Unresolved endpoint; numerical estimates are provisional.	5195.7173193329945	30.71004379109945	5231.830019416055	343621.0	12	0	saved_prediction_profile_identities_only	serial_cohort_fit
blood-pressure-diastolic-mean	Diastolic BP	continuous	4079_irnt	max_iterations	False	False	provisional_unresolved_endpoint		-0.3298916552149191	0.0712994677796297	-0.46609077913607333	-0.18731655903281305	0	21.604141599469575	2.819829270264381	0.1525941595000411	0.0041668146203824	100	7218362	21615	5304308	5301.191913833027	1.0627256732429062	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Unresolved endpoint; numerical estimates are provisional.	5425.260141875013	30.059186124941334	5460.711010625004	340162.0	12	0	saved_prediction_profile_identities_only	serial_cohort_fit
blood-pressure-systolic-mean	Systolic BP	continuous	4080_irnt	stationary_singular_information	False	False	singular_information							21.54897759369832		0.15956951914142845		52	7218360	21615	5304308	3643.0423520829063	1.0789280327801705	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Singular information; alpha and uncertainty unavailable; enrichment point estimate provisional.	3668.359781624982	30.12896245799493	3703.977527292096	340159.0	12	0	withheld_singular_information	serial_cohort_fit
BMI	BMI	continuous	21001_irnt	complete	True	True	available		-0.2283383219348005	0.04939836337931111	-0.3217956629057636	-0.12960504711661547	0	15.649986995126556	1.8685933073892624	0.2661672136028635	0.00609487545116523	26	7218137	21608	5304308	3296.1949926669477	1.1087143631726355	Matching measurement; confirm exact transformation, visit selection, and covariates for comparisons to rare-variant results.	a9f16ee35263d5e569f93da142cfcfa64613ae15	validated	One-step delete-group uncertainty; calibration not assessed.	3426.187329041073	31.297330750036053	3462.932220124989	359983.0	12	0	benchmark_parity_and_saved_arithmetic	pilot_single_fit_with_concurrent_staging
CA_105	Breast cancer	binary	C3_BREAST_3	max_iterations	False	False	provisional_unresolved_endpoint		-0.6259804039867307	0.2914619326427967	-1.7322127270270409	0.4380079266445991	0	4.135122997207265	7.45595725849596	0.03648153800280007	0.011862908169122171	100	7218051	21610	5304308	5045.95620604197	1.0166641979919553	Curated breast cancer in women; 9669 cases, versus 8246 female main-ICD10 cases.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Unresolved endpoint; numerical estimates are provisional.	5169.238695624983	30.201621916959994	5204.8841898749815	194174.0	12	0	saved_prediction_profile_identities_only	serial_cohort_fit
CV_401.1	Hypertension	binary	20002_1065	max_iterations	False	False	provisional_unresolved_endpoint		-0.4101692737611131	0.06072717523357774	-0.5339064211118743	-0.279936342407724	0	16.14659371175174	3.189106916321972	0.14753813245996433	0.005548161116602483	100	7218124	21609	5304308	5040.86820954096	1.0547769762785815	Self-reported hypertension, broader than explicitly essential hypertension but substantially more cases.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Unresolved endpoint; numerical estimates are provisional.	5164.55727054202	32.380197707912885	5202.423218249925	361141.0	12	0	saved_prediction_profile_identities_only	serial_cohort_fit
DE_660.6	Cellulitis	binary	L03	max_iterations	False	False	provisional_unresolved_endpoint	boundary_degenerate_zero_SE	-2.8012844340349092	0.0			100	11.616213181050325	6.44548611835986	0.011647341375931639	0.013957672110815056	100	7218125	21608	5304308	5050.163485415978	0.9920606247847863	Main-ICD10 cellulitis; abscess-only cases omitted. L02 is a separate endpoint and cannot be pooled from marginal statistics.	a9f16ee35263d5e569f93da142cfcfa64613ae15	unresolved	Unresolved endpoint; numerical estimates are provisional. All 100 delete alpha estimates hit the lower bound; zero alpha SE is degenerate, not precision.	5174.301203708979	32.283388875075616	5211.934885416995	361194.0	12	0	saved_prediction_profile_identities_only	serial_cohort_fit
