trait	trait_id	annotation	published_label	is_primary	annotation_interpretation	enrichment_off	enrichment_on	absolute_change	relative_change_percent	annotation_h2_off	annotation_h2_on	annotation_weight_sum	annotation_weight_fraction	status_off	status_on	optimizer
weight	21002_irnt	base		False	type_not_verified	1.0	1.0	0.0	0.0	0.2876854738070883	0.28806430335111	7218135.0	1.0	stationary	stationary	ai
weight	21002_irnt	Coding_UCSC	Coding	True	published_binary	8.283636729259731	8.223861167082484	-0.05977556217724711	-0.7216101349073689	0.03604533884921997	0.035832354685234956	109178.0	0.015125513723420246	stationary	stationary	ai
weight	21002_irnt	Coding_UCSC.flanking.500		False	type_not_verified	1.4761244311922617	1.483409643635446	0.0072852124431843635	0.4935364722132629	0.021557099723494545	0.021692018759096113	366416.0	0.05076325117222108	stationary	stationary	ai
weight	21002_irnt	Conserved_LindbladToh	Conserved	True	published_binary	8.626232032735095	8.527932952654231	-0.09829908008086363	-1.1395367027902226	0.06896173692832268	0.0682656678994195	200583.0	0.027788757068134638	stationary	stationary	ai
weight	21002_irnt	Conserved_LindbladToh.flanking.500		False	type_not_verified	1.4851807011254292	1.4933981461133934	0.008217444987964173	0.5532959714422025	0.13661442431353157	0.13755119817570355	2307939.0	0.31974173384122073	stationary	stationary	ai
weight	21002_irnt	CTCF_Hoffman		False	type_not_verified	1.2102443521341228	1.234569579101688	0.024325226967565117	2.009943440320172	0.00820383073814763	0.00837974318502519	170079.0	0.0235627346953195	stationary	stationary	ai
weight	21002_irnt	CTCF_Hoffman.flanking.500		False	type_not_verified	1.2591468773526386	1.2509173426262805	-0.008229534726358123	-0.6535802037376914	0.01675584114798564	0.01666824847973582	333885.0	0.04625640833816491	stationary	stationary	ai
weight	21002_irnt	DGF_ENCODE		False	type_not_verified	2.1215808598867385	2.115736335797772	-0.0058445240889666294	-0.2754796764747658	0.0852258339723812	0.08510297191010716	1007903.0	0.13963482256843354	stationary	stationary	ai
weight	21002_irnt	DGF_ENCODE.flanking.500		False	type_not_verified	1.0309271705515357	1.0348253204533535	0.0038981499018178045	0.3781207841997647	0.12089721151840326	0.12151415065024715	2942357.0	0.4076339663915956	stationary	stationary	ai
weight	21002_irnt	DHS_peaks_Trynka		False	type_not_verified	2.6274800125476445	2.612092684456078	-0.015387328091566399	-0.5856306429766756	0.08738509388878761	0.08698773641981129	834459.0	0.11560590097026448	stationary	stationary	ai
weight	21002_irnt	DHS_Trynka	DHS	True	published_binary	2.306792826573329	2.3017740510385436	-0.005018775534785469	-0.21756507463397412	0.11547805575429748	0.11537854863486602	1256024.0	0.1740094913713861	stationary	stationary	ai
weight	21002_irnt	DHS_Trynka.flanking.500		False	type_not_verified	0.8869079420041475	0.8917851390177816	0.004877197013634094	0.5499101747373114	0.0857633693096501	0.08634854663190088	2426221.0	0.3361285151912509	stationary	stationary	ai
weight	21002_irnt	Enhancer_Andersson		False	type_not_verified	3.3869835492521747	3.383224999151583	-0.0037585501005916733	-0.1109704268100642	0.0042736919347994605	0.004274570832015756	31659.0	0.004386036005145373	stationary	stationary	ai
weight	21002_irnt	Enhancer_Andersson.flanking.500		False	type_not_verified	1.7934955365825682	1.8151529868460576	0.02165745026348942	1.2075552919834198	0.007643723776109584	0.007746212908911758	106933.0	0.014814491554951521	stationary	stationary	ai
weight	21002_irnt	Enhancer_Hoffman	Enhancer	True	published_binary	2.921924571316919	2.917278935574067	-0.004645635742851706	-0.1589923226785417	0.03612931481979456	0.036119372090089086	310240.0	0.04298063142349097	stationary	stationary	ai
weight	21002_irnt	Enhancer_Hoffman.flanking.500		False	type_not_verified	1.592203745255195	1.6077668611518001	0.015563115896605195	0.9774575611308345	0.02186826907801576	0.02211110014208945	344606.0	0.04774169505003716	stationary	stationary	ai
weight	21002_irnt	FetalDHS_Trynka		False	type_not_verified	3.1164627552616215	3.0896380301628463	-0.026824725098775204	-0.8607426818589836	0.07913301402227434	0.07855518928249518	637093.0	0.0882628268936505	stationary	stationary	ai
weight	21002_irnt	FetalDHS_Trynka.flanking.500		False	type_not_verified	1.2551737377033008	1.269884458121265	0.014710720417964174	1.1720067091972153	0.07379322204831065	0.07475639470464522	1475094.0	0.20435943633639436	stationary	stationary	ai
weight	21002_irnt	H3K27ac_Hnisz		False	type_not_verified	1.4165432993267324	1.4158406375589994	-0.0007026617677330371	-0.049603973847256455	0.16115807597964682	0.1612902458324846	2854495.0	0.39546157005930205	stationary	stationary	ai
weight	21002_irnt	H3K27ac_Hnisz.flanking.500		False	type_not_verified	1.0179815080721786	1.052521679336804	0.034540171264625386	3.3930057658941637	0.00918441909744383	0.009508551536974623	226370.0	0.031361286537311926	stationary	stationary	ai
weight	21002_irnt	H3K27ac_PGC2		False	type_not_verified	1.7079901395454153	1.7085286678624487	0.0005385283170333821	0.03152994297594969	0.1335864123719885	0.13380449661014224	1962384.0	0.27186856438678414	stationary	stationary	ai
weight	21002_irnt	H3K27ac_PGC2.flanking.500		False	type_not_verified	0.9445505624625351	0.952870552174781	0.008319989712245901	0.8808411156471019	0.01809930202710043	0.01828277155133744	480777.0	0.06660681741197691	stationary	stationary	ai
weight	21002_irnt	H3K4me1_peaks_Trynka		False	type_not_verified	1.9604066210733646	1.963367849104182	0.002961228030817331	0.15105172564637837	0.09976767663030421	0.10004995179188103	1276882.0	0.1768991574693463	stationary	stationary	ai
weight	21002_irnt	H3K4me1_Trynka		False	type_not_verified	1.5075997770566414	1.5110744367479876	0.0034746596913461936	0.23047626725773984	0.19007704679074708	0.190766003113193	3163375.0	0.43825378716247343	stationary	stationary	ai
weight	21002_irnt	H3K4me1_Trynka.flanking.500		False	type_not_verified	0.9222838540641415	0.9163369241066859	-0.0059469299574556045	-0.6448047345998575	0.04788152190055502	0.04763542429492459	1302598.0	0.18046185060268338	stationary	stationary	ai
weight	21002_irnt	H3K4me3_peaks_Trynka		False	type_not_verified	2.921417491770994	2.9050042198586445	-0.016413271912349536	-0.5618256191928128	0.03493772831279197	0.03478718737301174	300060.0	0.04157029481992232	stationary	stationary	ai
weight	21002_irnt	H3K4me3_Trynka		False	type_not_verified	2.412350179321132	2.4140936094580923	0.0017434301369601002	0.07227102233766658	0.09235770943983727	0.09254616353264829	960594.0	0.13308063648019883	stationary	stationary	ai
weight	21002_irnt	H3K4me3_Trynka.flanking.500		False	type_not_verified	0.9734642177204299	0.9810277615724061	0.007563543851976218	0.7769719435284372	0.033884125173065854	0.03419236123965833	873340.0	0.12099247243228341	stationary	stationary	ai
weight	21002_irnt	H3K9ac_peaks_Trynka		False	type_not_verified	3.135332836740818	3.1375122612520534	0.0021794245112354282	0.06951174324130172	0.03578537891160057	0.0358574095559483	286371.0	0.03967382156194086	stationary	stationary	ai
weight	21002_irnt	H3K9ac_Trynka		False	type_not_verified	2.6939190791087206	2.694707553606578	0.0007884744978574609	0.02926867788910492	0.10009850089767747	0.10025964853927724	932288.0	0.1291591248986061	stationary	stationary	ai
weight	21002_irnt	H3K9ac_Trynka.flanking.500		False	type_not_verified	0.9635806370566028	0.9704742776768146	0.006893640620211805	0.7154191725219139	0.028909373821407774	0.029154537770254466	752762.0	0.10428760337677254	stationary	stationary	ai
weight	21002_irnt	Intron_UCSC		False	type_not_verified	1.127197609125066	1.1283358713153455	0.0011382621902795709	0.10098160083600316	0.12981795953150033	0.13012017109610796	2889627.0	0.4003287552809694	stationary	stationary	ai
