trait	trait_id	annotation	published_label	is_primary	annotation_interpretation	enrichment_off	enrichment_on	absolute_change	relative_change_percent	annotation_h2_off	annotation_h2_on	annotation_weight_sum	annotation_weight_fraction	status_off	status_on	optimizer	display_group
weight	21002_irnt	Coding_UCSC	Coding	True	published_binary	8.283636729259731	8.223861167082484	-0.05977556217724711	-0.7216101349073689	0.03604533884921997	0.035832354685234956	109178.0	0.015125513723420246	stationary	stationary	ai	primary
weight	21002_irnt	Conserved_LindbladToh	Conserved	True	published_binary	8.626232032735095	8.527932952654231	-0.09829908008086363	-1.1395367027902226	0.06896173692832268	0.0682656678994195	200583.0	0.027788757068134638	stationary	stationary	ai	primary
weight	21002_irnt	DHS_Trynka	DHS	True	published_binary	2.306792826573329	2.3017740510385436	-0.005018775534785469	-0.21756507463397412	0.11547805575429748	0.11537854863486602	1256024.0	0.1740094913713861	stationary	stationary	ai	primary
weight	21002_irnt	Enhancer_Hoffman	Enhancer	True	published_binary	2.921924571316919	2.917278935574067	-0.004645635742851706	-0.1589923226785417	0.03612931481979456	0.036119372090089086	310240.0	0.04298063142349097	stationary	stationary	ai	primary
weight	21002_irnt	Promoter_UCSC	Promoter	True	published_binary	3.05881123285778	3.053801529661697	-0.00500970319608296	-0.16377941673120233	0.03969203158956284	0.039679205808931736	325580.0	0.04510583412474275	stationary	stationary	ai	primary
weight	21002_irnt	Repressed_Hoffman	Repressed	True	published_binary	0.6939733269856437	0.6943408936137991	0.0003675666281554024	0.05296552675186916	0.09124594036466713	0.09141448723712815	3298966.0	0.4570385563583945	stationary	stationary	ai	primary
weight	21002_irnt	Human_Promoter_Villar_ExAC.flanking.500		False	verified_binary	0.17453451570994247	0.5993806606259072	0.42484614491596473	243.41669221577536	3.0725690928794655e-05	0.00010565609838151029	4417.0	0.0006119309212144135	stationary	stationary	ai	secondary
weight	21002_irnt	SuperEnhancer_Hnisz.flanking.500		False	verified_binary	0.7756712922892626	1.0116523320343986	0.23598103974513607	30.422814675618316	0.0006958988944582292	0.0009088060842746006	22510.0	0.003118534081171937	stationary	stationary	ai	secondary
weight	21002_irnt	Human_Enhancer_Villar.flanking.500		False	verified_binary	0.7925850861761778	0.9378407763965311	0.14525569022035323	18.326826072534175	0.0022134562720917835	0.0026225614490417042	70070.0	0.009707493694700916	stationary	stationary	ai	secondary
hemoglobin	30020_irnt	Coding_UCSC	Coding	True	published_binary	11.65239970358904	11.436109598529452	-0.21629010505958846	-1.8561850825711823	0.03414588243500528	0.033589905077060896	109187.0	0.015126727052398876	stationary	stationary	ai	primary
hemoglobin	30020_irnt	Conserved_LindbladToh	Conserved	True	published_binary	10.451445914035613	10.22831393982311	-0.22313197421250308	-2.1349388022268934	0.0562646373977533	0.055191309300229204	200589.0	0.027789526708432672	stationary	stationary	ai	primary
hemoglobin	30020_irnt	DHS_Trynka	DHS	True	published_binary	3.6420518036670324	3.5755828161064587	-0.06646898756057373	-1.8250423427159657	0.1227723546841241	0.12081164798469562	1256037.0	0.1740109066712514	stationary	stationary	ai	primary
hemoglobin	30020_irnt	Enhancer_Hoffman	Enhancer	True	published_binary	5.849242110237272	5.768486744929086	-0.08075536530818628	-1.3806124586097979	0.048703864416964615	0.04814300818476607	310250.0	0.042981921547498796	stationary	stationary	ai	primary
hemoglobin	30020_irnt	Promoter_UCSC	Promoter	True	published_binary	3.988626573002736	3.965169799523855	-0.023456773478880866	-0.5880914908818369	0.034854576334156034	0.03473007491856028	325600.0	0.045108504934296884	stationary	stationary	ai	primary
hemoglobin	30020_irnt	Repressed_Hoffman	Repressed	True	published_binary	0.13125943711159863	0.13510266412204286	0.0038432270104442334	2.9279624345613042	0.011621350321545425	0.011989400536103095	3298937.0	0.4570335256217278	stationary	stationary	ai	primary
hemoglobin	30020_irnt	Human_Promoter_Villar_ExAC.flanking.500		False	verified_binary	6.245061879480283	6.570988758476901	0.32592687899661765	5.218953555408823	0.0007403143690720376	0.0007807601838571408	4417.0	0.0006119295647874365	stationary	stationary	ai	secondary
hemoglobin	30020_irnt	SuperEnhancer_Hnisz.flanking.500		False	verified_binary	0.01246925253462907	0.0897621283028987	0.07729287576826963	619.8677551329977	7.53299968489635e-06	5.435358205014925e-05	22510.0	0.0031185271685227976	stationary	stationary	ai	secondary
hemoglobin	30020_irnt	Human_Enhancer_Villar.flanking.500		False	verified_binary	5.584756875598605	5.550178571481306	-0.03457830411729912	-0.619155048062725	0.010502996335200701	0.01046220918862042	70074.0	0.009708026335276168	stationary	stationary	ai	secondary
