Gene stable ID	Gene stable ID version	Gene name	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
ENSG00000198888	ENSG00000198888.2	MT-ND1	3307	4262	MT
ENSG00000198763	ENSG00000198763.3	MT-ND2	4470	5511	MT
ENSG00000198804	ENSG00000198804.2	MT-CO1	5904	7445	MT
ENSG00000198712	ENSG00000198712.1	MT-CO2	7586	8269	MT
ENSG00000228253	ENSG00000228253.1	MT-ATP8	8366	8572	MT
ENSG00000198899	ENSG00000198899.2	MT-ATP6	8527	9207	MT
ENSG00000198938	ENSG00000198938.2	MT-CO3	9207	9990	MT
ENSG00000198840	ENSG00000198840.2	MT-ND3	10059	10404	MT
ENSG00000212907	ENSG00000212907.2	MT-ND4L	10470	10766	MT
ENSG00000198886	ENSG00000198886.2	MT-ND4	10760	12137	MT
ENSG00000198786	ENSG00000198786.2	MT-ND5	12337	14148	MT
ENSG00000198695	ENSG00000198695.2	MT-ND6	14149	14673	MT
ENSG00000198727	ENSG00000198727.2	MT-CYB	14747	15887	MT
ENSG00000271254	ENSG00000271254.7		4612	29626	KI270711.1
ENSG00000278704	ENSG00000278704.1		56140	58376	GL000009.2
ENSG00000277196	ENSG00000277196.4		138082	161852	KI270734.1
ENSG00000277630	ENSG00000277630.4		108007	139659	GL000213.1
ENSG00000278817	ENSG00000278817.1		131494	137392	KI270734.1
ENSG00000276017	ENSG00000276017.1		72411	74814	KI270734.1
ENSG00000276256	ENSG00000276256.1		42939	49164	GL000195.1
ENSG00000278384	ENSG00000278384.1		51867	54893	GL000218.1
ENSG00000268674	ENSG00000268674.2		35407	35916	KI270713.1
ENSG00000277475	ENSG00000277475.1		31698	32528	KI270713.1
ENSG00000275063	ENSG00000275063.1		41444	41876	KI270726.1
ENSG00000277856	ENSG00000277856.1		26241	26534	KI270726.1
ENSG00000277400	ENSG00000277400.1		53590	115018	GL000194.1
ENSG00000274847	ENSG00000274847.1	MAFIP	53594	115055	GL000194.1
ENSG00000276345	ENSG00000276345.1		2585	11802	KI270721.1
ENSG00000274175	ENSG00000274175.1		17234	19833	KI270728.1
