chrom,chromStart,chromEnd,name,snplistName,population,numVariants,numIndices,numEntries,info
1,16103,2888443,1kg_chr1_16103_2888443.AFR.edgelist,1kg_chr1_16103_2888443.snplist,AFR,14357,9749,99217,""
1,16103,2888443,1kg_chr1_16103_2888443.EAS.edgelist,1kg_chr1_16103_2888443.snplist,EAS,14357,5005,44290,""
1,16103,2888443,1kg_chr1_16103_2888443.AMR.edgelist,1kg_chr1_16103_2888443.snplist,AMR,14357,6009,61298,""
1,16103,2888443,1kg_chr1_16103_2888443.EUR.edgelist,1kg_chr1_16103_2888443.snplist,EUR,14357,5239,47268,""
1,16103,2888443,1kg_chr1_16103_2888443.SAS.edgelist,1kg_chr1_16103_2888443.snplist,SAS,14357,5496,48783,""
1,2888443,4320284,1kg_chr1_2888443_4320284.AFR.edgelist,1kg_chr1_2888443_4320284.snplist,AFR,13337,9176,93285,""
1,2888443,4320284,1kg_chr1_2888443_4320284.EAS.edgelist,1kg_chr1_2888443_4320284.snplist,EAS,13337,4974,42330,""
1,2888443,4320284,1kg_chr1_2888443_4320284.AMR.edgelist,1kg_chr1_2888443_4320284.snplist,AMR,13337,6189,63738,""
1,2888443,4320284,1kg_chr1_2888443_4320284.EUR.edgelist,1kg_chr1_2888443_4320284.snplist,EUR,13337,5354,49955,""
1,2888443,4320284,1kg_chr1_2888443_4320284.SAS.edgelist,1kg_chr1_2888443_4320284.snplist,SAS,13337,5977,55430,""
1,4320284,5853833,1kg_chr1_4320284_5853833.AMR.edgelist,1kg_chr1_4320284_5853833.snplist,AMR,14249,6360,66630,""
1,4320284,5853833,1kg_chr1_4320284_5853833.SAS.edgelist,1kg_chr1_4320284_5853833.snplist,SAS,14249,6150,59476,""
1,4320284,5853833,1kg_chr1_4320284_5853833.EUR.edgelist,1kg_chr1_4320284_5853833.snplist,EUR,14249,5849,57991,""
1,4320284,5853833,1kg_chr1_4320284_5853833.AFR.edgelist,1kg_chr1_4320284_5853833.snplist,AFR,14249,9982,103310,""
1,4320284,5853833,1kg_chr1_4320284_5853833.EAS.edgelist,1kg_chr1_4320284_5853833.snplist,EAS,14249,5251,48114,""
1,5853833,7110219,1kg_chr1_5853833_7110219.AFR.edgelist,1kg_chr1_5853833_7110219.snplist,AFR,8721,5975,70996,""
1,5853833,7110219,1kg_chr1_5853833_7110219.AMR.edgelist,1kg_chr1_5853833_7110219.snplist,AMR,8721,3494,41018,""
1,5853833,7110219,1kg_chr1_5853833_7110219.EAS.edgelist,1kg_chr1_5853833_7110219.snplist,EAS,8721,2911,28034,""
1,5853833,7110219,1kg_chr1_5853833_7110219.EUR.edgelist,1kg_chr1_5853833_7110219.snplist,EUR,8721,3339,36078,""
1,5853833,7110219,1kg_chr1_5853833_7110219.SAS.edgelist,1kg_chr1_5853833_7110219.snplist,SAS,8721,3529,37350,""
1,7110219,9473386,1kg_chr1_7110219_9473386.AMR.edgelist,1kg_chr1_7110219_9473386.snplist,AMR,16998,7543,84135,""
1,7110219,9473386,1kg_chr1_7110219_9473386.EUR.edgelist,1kg_chr1_7110219_9473386.snplist,EUR,16998,6187,64098,""
1,7110219,9473386,1kg_chr1_7110219_9473386.SAS.edgelist,1kg_chr1_7110219_9473386.snplist,SAS,16998,6531,65458,""
1,7110219,9473386,1kg_chr1_7110219_9473386.EAS.edgelist,1kg_chr1_7110219_9473386.snplist,EAS,16998,5707,53376,""
1,7110219,9473386,1kg_chr1_7110219_9473386.AFR.edgelist,1kg_chr1_7110219_9473386.snplist,AFR,16998,12038,134047,""
1,9473386,11328222,1kg_chr1_9473386_11328222.SAS.edgelist,1kg_chr1_9473386_11328222.snplist,SAS,12430,4235,41004,""
1,9473386,11328222,1kg_chr1_9473386_11328222.AFR.edgelist,1kg_chr1_9473386_11328222.snplist,AFR,12430,7841,89135,""
1,9473386,11328222,1kg_chr1_9473386_11328222.EAS.edgelist,1kg_chr1_9473386_11328222.snplist,EAS,12430,4008,38711,""
1,9473386,11328222,1kg_chr1_9473386_11328222.AMR.edgelist,1kg_chr1_9473386_11328222.snplist,AMR,12430,4957,55523,""
1,9473386,11328222,1kg_chr1_9473386_11328222.EUR.edgelist,1kg_chr1_9473386_11328222.snplist,EUR,12430,4033,39699,""
1,11328222,12710318,1kg_chr1_11328222_12710318.EAS.edgelist,1kg_chr1_11328222_12710318.snplist,EAS,9903,3615,31376,""
1,11328222,12710318,1kg_chr1_11328222_12710318.SAS.edgelist,1kg_chr1_11328222_12710318.snplist,SAS,9903,4222,38864,""
1,11328222,12710318,1kg_chr1_11328222_12710318.AFR.edgelist,1kg_chr1_11328222_12710318.snplist,AFR,9903,6588,67503,""
1,11328222,12710318,1kg_chr1_11328222_12710318.AMR.edgelist,1kg_chr1_11328222_12710318.snplist,AMR,9903,4387,44488,""
1,11328222,12710318,1kg_chr1_11328222_12710318.EUR.edgelist,1kg_chr1_11328222_12710318.snplist,EUR,9903,3686,34215,""
1,12710318,15244493,1kg_chr1_12710318_15244493.SAS.edgelist,1kg_chr1_12710318_15244493.snplist,SAS,18613,8578,79920,""
1,12710318,15244493,1kg_chr1_12710318_15244493.EAS.edgelist,1kg_chr1_12710318_15244493.snplist,EAS,18613,7632,66633,""
1,12710318,15244493,1kg_chr1_12710318_15244493.AMR.edgelist,1kg_chr1_12710318_15244493.snplist,AMR,18613,8550,86453,""
1,12710318,15244493,1kg_chr1_12710318_15244493.AFR.edgelist,1kg_chr1_12710318_15244493.snplist,AFR,18613,11917,120971,""
1,12710318,15244493,1kg_chr1_12710318_15244493.EUR.edgelist,1kg_chr1_12710318_15244493.snplist,EUR,18613,7809,73207,""
1,15244493,17351816,1kg_chr1_15244493_17351816.EUR.edgelist,1kg_chr1_15244493_17351816.snplist,EUR,12301,4904,46544,""
1,15244493,17351816,1kg_chr1_15244493_17351816.AFR.edgelist,1kg_chr1_15244493_17351816.snplist,AFR,12301,8026,84978,""
1,15244493,17351816,1kg_chr1_15244493_17351816.AMR.edgelist,1kg_chr1_15244493_17351816.snplist,AMR,12301,5556,56238,""
1,15244493,17351816,1kg_chr1_15244493_17351816.EAS.edgelist,1kg_chr1_15244493_17351816.snplist,EAS,12301,3862,33096,""
1,15244493,17351816,1kg_chr1_15244493_17351816.SAS.edgelist,1kg_chr1_15244493_17351816.snplist,SAS,12301,4775,43690,""
1,17351816,20110062,1kg_chr1_17351816_20110062.EAS.edgelist,1kg_chr1_17351816_20110062.snplist,EAS,21779,7993,74159,""
1,17351816,20110062,1kg_chr1_17351816_20110062.AMR.edgelist,1kg_chr1_17351816_20110062.snplist,AMR,21779,10040,104366,""
1,17351816,20110062,1kg_chr1_17351816_20110062.SAS.edgelist,1kg_chr1_17351816_20110062.snplist,SAS,21779,9335,89146,""
1,17351816,20110062,1kg_chr1_17351816_20110062.EUR.edgelist,1kg_chr1_17351816_20110062.snplist,EUR,21779,8458,82742,""
1,17351816,20110062,1kg_chr1_17351816_20110062.AFR.edgelist,1kg_chr1_17351816_20110062.snplist,AFR,21779,14263,96339,""
1,20110062,22020160,1kg_chr1_20110062_22020160.AMR.edgelist,1kg_chr1_20110062_22020160.snplist,AMR,11360,5565,64284,""
1,20110062,22020160,1kg_chr1_20110062_22020160.AFR.edgelist,1kg_chr1_20110062_22020160.snplist,AFR,11360,7323,83004,""
